Symbol,ETF Name
FXR,First Trust Industrials/Producer Durables AlphaDEX Fund
RYF,Invesco S&P 500® Equal Weight Financials ETF
XTN,SPDR S&P Transportation ETF
MORT,VanEck Vectors Mortgage REIT Income ETF
SOXS,Direxion Daily Semiconductor Bear 3x Shares
FMAT,Fidelity MSCI Materials Index ETF
RGI,Invesco S&P 500® Equal Weight Industrials ETF
CURE,Direxion Daily Healthcare Bull 3x Shares
AMZA,InfraCap MLP ETF
HDGE,AdvisorShares Ranger Equity Bear ETF
ONLN,ProShares Online Retail ETF
DIG,ProShares Ultra Oil & Gas
PAVE,Global X US Infrastructure Development ETF
RTM,Invesco S&P 500® Equal Weight Materials ETF
IAI,iShares US Broker-Dealers ETF
XITK,SPDR FactSet Innovative Technology ETF
PSR,Invesco Active U.S. Real Estate Fund
PSL,Invesco DWA Consumer Staples Momentum ETF
RTH,VanEck Vectors Retail ETF
RXL,ProShares Ultra Health Care
FXN,First Trust Energy AlphaDEX Fund
MLPI,UBS E-TRACS Alerian MLP Infrastructure ETN
XES,SPDR S&P Oil & Gas Equipment & Services ETF
FRI,First Trust S&P REIT Index Fund
FCG,First Trust ISE-Revere Natural Gas Index Fund
PPTY,PPTY - U.S. Diversified Real Estate ETF
XHS,SPDR S&P Health Care Services ETF
RYE,Invesco S&P 500® Equal Weight Energy ETF
URE,ProShares Ultra Real Estate
BTEC,Principal Healthcare Innovators Index ETF
DPST,Direxion Daily Regional Banks Bull 3X Shares
USD,ProShares Ultra Semiconductors
PUI,Invesco DWA Utilities Momentum ETF
LABD,Direxion Daily S&P Biotech Bear 3x Shares
PKB,Invesco Dynamic Building & Construction ETF
NRGU,MicroSectors U.S. Big Oil Index 3X Leveraged ETN
FXZ,First Trust Materials AlphaDEX Fund
QABA,First Trust NASDAQ ABA Community Bank Index
KBWP,Invesco KBW Property & Casualty Insurance ETF
FTXO,First Trust Nasdaq Bank ETF
IAK,iShares U.S. Insurance ETF
REML,Credit Suisse X-Links Monthly Pay 2xLeveraged Mortgage REIT ETN
DRN,Direxion Daily Real Estate Bull 3x Shares
PRN,Invesco DWA Industrials Momentum ETF
INDS,Pacer Benchmark Industrial Real Estate SCTR ETF
RCD,Invesco S&P 500® Equal Weight Consumer Discretionary ETF
PXQ,Invesco Dynamic Networking ETF
XTL,SPDR S&P Telecom ETF
IETC,iShares Evolved U.S. Technology ETF
NURE,Nuveen Short-Term REIT ETF
VMOT,Alpha Architect Value Momentum Trend ETF
BBC,Virtus LifeSci Biotech Clinical Trials ETF
DRV,Direxion Daily Real Estate Bear 3x Shares
IGN,iShares North American Tech-Multimedia Networking ETF
CWEB,Direxion Daily CSI China Internet Index Bull 2x Shares
NETL,NETLease Corporate Real Estate ETF
SRS,ProShares Ultra Short Real Estate
JHMH,John Hancock Multi-Factor Health Care ETF
ROOF,IQ US Real Estate Small Cap ETF
FTXL,First Trust Nasdaq Semiconductor ETF
ZMLP,Direxion Zacks MLP High Income Shares
CNCR,Loncar Cancer Immunotherapy ETF
TDV,ProShares S&P Technology Dividend Aristocrats ETF
AIRR,First Trust RBA American Industrial Renaissance ETF
SLX,VanEck Vectors Steel ETF
JHMT,John Hancock Multi-Factor Technology ETF
VPC,Virtus Private Credit Strategy ETF
PSCI,Invesco S&P SmallCap Industrials ETF
TECS,Direxion Daily Technology Bear 3X Shares
SKF,ProShares Ultra Short Financials
PYZ,Invesco DWA Basic Materials Momentum ETF
JHMC,John Hancock Multi-Factor Consumer Discretionary ETF
DRIP,Direxion Daily S&P Oil & Gas Exploration & Production Bear 2x Shares
EVX,VanEck Vectors Environmental Services ETF
PXI,Invesco DWA Energy Momentum ETF
RDOG,ALPS REIT Dividend Dogs ETF
KBWR,Invesco KBW Regional Banking ETF
PSCF,Invesco S&P SmallCap Financials ETF
PBS,Invesco Dynamic Media ETF
UYM,ProShares Ultra Basic Materials
SEF,Short Financials ProShares
UTES,Reaves Utilities ETF
PFI,Invesco DWA Financial Momentum ETF
JHMU,John Hancock Multi-Factor Utilities ETF
REK,ProShares Short Real Estate
CNRG,SPDR S&P Kensho Clean Power ETF
BBP,Virtus LifeSci Biotech Products ETF
PSCU,Invesco S&P SmallCap Utilities ETF
BMLP,Dorsey Wright MLP Index ETN
RETL,Direxion Daily Retail Bull 3X Shares
TPOR,Direxion Daily Transportation Bull 3X Shares
PEZ,Invesco DWA Consumer Cyclicals Momentum ETF
EWRE,Invesco S&P 500® Equal Weight Real Estate ETF
XWEB,SPDR S&P Internet ETF
UTSL,Direxion Daily Utilities Bull 3X Shares
ERY,Direxion Daily Energy Bear 2X Shares
JHMS,John Hancock Multifactor Consumer Staples ETF
FITE,SPDR S&P Future Security ETF
PSCD,Invesco S&P SmallCap Consumer Discretionary ETF
UCC,ProShares Ultra Consumer Services
JHMA,John Hancock Multi-Factor Materials ETF
PILL,Direxion Daily Pharmaceutical & Medical Bull 3X Shares
NRGO,MicroSectors U.S. Big Oil Index 2X Leveraged ETN
NRGD,MicroSectors U.S. Big Oil Index -3X Inverse Leveraged ETN
PXE,Invesco Dynamic Energy Exploration & Production ETF
JHME,John Hancock Multi-Factor Energy ETF
ZIG,Acquirers Fund
UXI,ProShares Ultra Industrials
UPW,ProShares Ultra Utilities
HOMZ,Hoya Capital Housing ETF
PSCE,Invesco S&P SmallCap Energy ETF
IEHS,iShares Evolved U.S. Healthcare Staples ETF
DUG,ProShares Ultra Short Oil & Gas
WANT,Direxion Daily Consumer Discretionary Bull 3X Shares
IEDI,iShares Evolved U.S. Discretionary Spending ETF
DUSL,Direxion Daily Industrials Bull 3X Shares
PSCM,Invesco S&P SmallCap Materials ETF
IFRA,iShares U.S. Infrastructure ETF
IECS,iShares Evolved U.S. Consumer Staples ETF
TAWK,Direxion Daily Communication Services Index Bull 3X Shares
PXJ,Invesco Dynamic Oil & Gas Services ETF
BNKD,MicroSectors U.S. Big Banks Index -3x Inverse Leveraged ETN
BNKU,MicroSectors U.S. Big Banks Index 3x Leveraged ETN
SIMS,SPDR S&P Kensho Intelligent Structures ETF
ROKT,SPDR S&P Kensho Final Frontiers ETF
NEED,Direxion Daily Consumer Staples Bull 3X Shares
SSG,ProShares Ultra Short Semiconductors
FTXR,First Trust Nasdaq Transportation ETF
UGE,ProShares Ultra Consumer Goods
HAIL,SPDR S&P Smart Mobility ETF
REW,ProShares Ultra Short Technology
IEFN,iShares Evolved U.S. Financials ETF
PASS,Direxion Daily Consumer Discretionary Bear 3X Shares
SMN,ProShares Ultra Short Basic Materials
RORE,Hartford Multifactor REIT ETF
DDG,Short Oil & Gas ProShares
SIJ,ProShares Ultra Short Industrials
FTXG,First Trust Nasdaq Food & Beverage ETF
SDP,ProShares Ultra Short Utilities
SCC,ProShares Ultra Short Consumer Services
SZK,ProShares Ultra Short Consumer Goods
LACK,Direxion Daily Consumer Staples Bear 3X Shares
SPY,SPDR S&P 500 ETF
IVV,iShares Core S&P 500 ETF
VOO,Vanguard S&P 500 ETF
VUG,Vanguard Growth ETF
VTV,Vanguard Value ETF
IJH,iShares Core S&P Mid-Cap ETF
IJR,iShares Core S&P Small-Cap ETF
USMV,iShares Edge MSCI Min Vol USA ETF
VO,Vanguard Mid-Cap Index ETF
IVW,iShares S&P 500 Growth ETF
DIA,SPDR Dow Jones Industrial Average ETF
SCHX,Schwab U.S. Large-Cap ETF
VV,Vanguard Large Cap ETF
IVE,iShares S&P 500 Value ETF
MDY,SPDR S&P MidCap 400 ETF
IWP,iShares Russell Midcap Growth ETF
SCHD,Schwab US Dividend Equity ETF
RSP,Invesco S&P 500® Equal Weight ETF
VBK,Vanguard Small Cap Growth ETF
SCHG,Schwab U.S. Large-Cap Growth ETF
IWS,iShares Russell Midcap Value ETF
MTUM,iShares Edge MSCI USA Momentum Factor ETF
SPLV,Invesco S&P 500® Low Volatility ETF
VOE,Vanguard Mid-Cap Value ETF
IUSG,iShares Core S&P U.S. Growth ETF
GSLC,Goldman Sachs ActiveBeta U.S. Large Cap Equity ETF
SPYG,SPDR Portfolio S&P 500 Growth ETF
VOT,Vanguard Mid-Cap Growth ETF
ESGU,iShares ESG MSCI USA ETF
MGK,Vanguard Mega Cap Growth ETF
OEF,iShares S&P 100 ETF
IJK,iShares S&P MidCap 400 Growth ETF
SCHM,Schwab US Mid-Cap ETF
IUSV,iShares Core S&P U.S. Value ETF
SCHV,Schwab U.S. Large-Cap Value ETF
TQQQ,ProShares UltraPro QQQ
NOBL,ProShares S&P 500 Aristocrats
SPLG,SPDR Portfolio Large Cap ETF
FTCS,First Trust Capital Strength ETF
VLUE,iShares Edge MSCI USA Value Factor ETF
IJS,iShares S&P SmallCap 600 Value ETF
SPYV,SPDR Portfolio S&P 500 Value ETF
IJJ,iShares S&P MidCap 400 Value ETF
IJT,iShares S&P SmallCap 600 Growth ETF
VOOG,Vanguard S&P 500 Growth ETF
MGV,Vanguard Mega Cap Value ETF
MGC,Vanguard Mega Cap ETF
XMLV,Invesco S&P MidCap Low Volatility ETF
QLD,ProShares Ultra QQQ
SUSL,iShares ESG MSCI USA Leaders ETF
USSG,MSCI USA ESG Leaders Equity ETF
SPMD,SPDR S&P 1000 ETF
DLN,WisdomTree US LargeCap Dividend ETF
IOO,iShares Global 100 ETF
SSO,ProShares Ultra S&P 500
MDYG,SPDR S&P 400 Mid Cap Growth ETF
SLYV,SPDR S&P 600 Small Cap Value ETF
SPSM,SPDR Portfolio Small Cap ETF
SPYD,SPDR Portfolio S&P 500 High Dividend ETF
JKE,iShares Morningstar Large-Cap Growth ETF
SLYG,SPDR S&P 600 Small Cap Growth ETF
SUSA,iShares MSCI USA ESG Select ETF
MDYV,SPDR S&P 400 Mid Cap Value ETF
XSLV,Invesco S&P SmallCap Low Volatility ETF
SPXU,ProShares UltraPro Short S&P 500
VOOV,Vanguard S&P 500 Value ETF
SLY,SPDR S&P 600 Small Cap ETF
FEX,First Trust Large Cap Core AlphaDEX Fund
IVOO,Vanguard S&P Mid-Cap 400 ETF
VIOO,Vanguard S&P Small-Cap 600 ETF
PWB,Invesco Dynamic Large Cap Growth ETF
JKD,iShares Morningstar Large-Cap ETF
RWL,Invesco S&P 500 Revenue ETF
PWV,Invesco Dynamic Large Cap Value ETF
IVOG,Vanguard S&P Mid-Cap 400 Growth ETF
PEY,Invesco High Yield Equity Dividend Achievers™ ETF
EWQ,iShares MSCI France ETF
FTA,First Trust Large Cap Value AlphaDEX Fund
FNX,First Trust Mid Cap Core AlphaDEX Fund
XMMO,Invesco S&P MidCap Momentum ETF
RPV,Invesco S&P 500® Pure Value ETF
